func_name,sample_id,Deepseek-V3.2_ires,Deepseek-V4-Flash_ires,GPT-5.4-mini_ires,Gemini-3.1-Flash-Lite-Preview_ires,Qwen3-32B_ires,Qwen3-Coder-30B-A3B-Instruct_ires
BootstrapTools.parseDynamicProperties,26,0.8698261270696139,0.9103256992685633,0.9048340533029746,0.9587310648476565,0.8610216003953545,0.8521364209310642
HttpBody.setCharset,12,0.9102630159105942,0.9234169484282938,0.9264765993623367,0.9264484172104537,0.9064806792736737,0.8887285846374932
CoronaJobHistory.logInited,30,0.9548425418763562,0.9998734148531837,1.0,0.9640456485289681,0.9551966170614052,0.9549734422442022
JsonUtil.getJsonFriendlyString,29,0.9188851101831217,0.9446691060855578,0.9232373127791371,0.8624102787377634,0.8569792682230297,0.9203544080235904
TypeUtil.getType,48,0.8938636803924865,0.9491927170563751,0.9429204644216087,0.9570796382959363,0.9501939581480917,0.8374402966210186
CmsResourceWrapperUtils.addFileExtension,42,0.910845520277815,0.9524738247621479,0.9421753966886424,0.8905860928795585,0.9284681405798286,0.9502373122638099
DetectPolygonFromContour.touchesBorder,27,0.9765592804510025,0.972916369728617,0.9451302389053111,0.9764996158646099,0.9219122553062379,0.9621033666215947
SpiderHtmlFormParser.processGetForm,17,0.8781888857255188,0.8314096879563838,0.8717426620870248,0.8541250901963358,0.8209549604174357,0.900952950785514
GeometryTools.findClosestInSpace,34,0.9198774933466967,0.8920488768720748,0.8994409589719403,0.8842008185791245,0.8960118718956311,0.8952611388901323
TaskController.destroyTaskJVM,41,0.8989926204910612,0.9566217097018153,0.8802262152564756,0.847919993662815,0.8485327855785632,0.8429278033647372
Sftp.lsFiles,56,0.9998815044288579,0.9926402824668731,0.9921834472021082,0.9923380683131787,0.9921909571468115,0.9998799332933589
fannkuch.print_30_permut,50,0.8303961693663476,0.9197317749978352,0.896766603472733,0.8657663474427236,0.9270142363058078,0.8241816874478162
CatGenConfigMetadataFactory.readDatasetFilterElement,7,0.9597407622708131,0.9423921232312407,0.9082225538341716,0.9406950621711474,0.9255882899474297,0.94746912022688
ReadaheadPool.submitReadahead,21,0.8906088708880557,0.9498708090984255,0.9581204874113446,0.964635564927939,0.9117119535424246,0.9196872070479586
DefaultGroovyMethods.trunc,45,0.9047934486180643,0.9061386908775142,0.8496420027524334,0.8806845461983482,0.9328019017420656,0.9064891588507735
SingleElectronDiff.difference,36,0.9801011232124888,0.9849349539301836,0.9912680081036869,0.9778002080220081,0.993186038349512,0.9850419325063894
ToHTMLStream.addUniqueAttribute,44,0.9475419821884761,0.9022656685049815,0.9125465180773639,0.8763546691424722,0.9127962373532333,0.8892941285378517
WorkbenchPanel.removePanel,54,0.9820675707341209,0.9778748637914406,0.9815878481018802,0.9786936129107264,0.9800243697227614,0.980382920867535
S3URI.getChild,47,0.9372757616150331,0.939400402163041,0.9626713751891758,0.9363448048325991,0.9443563353193528,0.9462075620242165
Start.begin,66,0.8194131197708507,0.8664289226317256,0.9020631161078352,0.8198266828769408,0.920209459073695,0.9515569405242452
IoUtil.toStream,38,0.996202772551272,0.8679470333028907,0.8429564696911714,0.8868946844103023,0.8745261516699748,0.9569835556142052
SimpleUnit.makeUnit,24,0.9578721260615766,0.9578324464429965,0.9998946282708479,0.9527000025050003,0.8923093147141584,0.9532110935939581
DiSHPreferenceVectorIndex.determinePreferenceVectorByMaxIntersection,19,0.9297541718393529,0.9363135557139969,0.9182976356225773,0.948380984295487,0.9407365237448593,0.9377083504643123
TaskInProgress.addRunningTask,15,0.8621109347406283,0.8737336157709042,0.8387847505449083,0.8777721515167942,0.8193614336196571,0.7825821671295965
DateUtil.calendar,49,0.9090478391057879,0.9140080668981849,0.9140607569286432,0.9620314738273152,0.96252548447625,0.9510767611394862
PoissonDistribution.logpmf,23,0.97737857908357,0.9710642871731252,0.9748684192794769,0.9427481833531284,0.9577101935453994,0.9763323756491942
TransliteratorIDParser.parseCompoundID,2,0.9436417251153655,0.9619138246498293,0.9742453942692356,0.9321054212315804,0.9595855028743057,0.9279904269217993
ElementUtil.fromModifierSet,31,0.9658538919909163,0.9979049888964874,1.0000000000000002,0.9684572284633441,0.9945705789808026,0.9630607324760359
Sql.inout,22,0.9519943909862003,0.9998836145110691,0.9999037872371478,0.9998961413721518,0.999910460739125,0.9998543724470597
BytePrimitiveVector.deserialize,0,0.8299979180721777,0.8405566680665619,0.7915922470033874,0.8900158505150166,0.891920746637937,0.8438498678325786
