func_name,sample_id,deepseekv3.2_ires,deepseekv4-flash_ires,Qwen3-Coder-30B-A3B-Instruct_ires,gpt-5.4-mini_ires,gemini-3.1-flash-lite-preview_ires,Qwen3-32B_ires
BootstrapTools.parseDynamicProperties,26,0.8145604010816823,0.8524505696921316,0.8886468823012863,0.9243629907079324,0.9129091976833966,0.8521364209310642
HttpBody.setCharset,12,0.9035796272528928,0.8682459684850518,0.8977818879847382,0.8846854023672482,0.89485387196578,0.8887285846374932
CoronaJobHistory.logInited,30,0.9552578979362701,0.9549468989134217,0.9556055172207685,0.94997481999247,0.9486045656877701,0.9549734422442022
JsonUtil.getJsonFriendlyString,29,0.9215050235594593,0.903837038121408,0.9240035344238795,0.8955545344344746,0.9208263753870806,0.9203544080235904
TypeUtil.getType,48,0.9389554957532678,0.8166124791102177,0.8296640411406846,0.3151143629941398,0.9490138221874173,0.8374402966210186
CmsResourceWrapperUtils.addFileExtension,42,0.9443710513686601,0.9207902078336316,0.943478080939028,0.945831535646012,0.9348654137681707,0.9502373122638099
DetectPolygonFromContour.touchesBorder,27,0.9174057778935872,0.9138698173839487,0.9164129952849462,0.91563456382321,0.9678409573007781,0.9621033666215947
SpiderHtmlFormParser.processGetForm,17,0.907374257436534,0.9170819279072682,0.9234510835969592,0.8335512712185902,0.8316885939013057,0.900952950785514
GeometryTools.findClosestInSpace,34,0.898323893608172,0.9184842945614906,0.8960330636109336,0.9218367065331081,0.9099970709314953,0.8952611388901323
TaskController.destroyTaskJVM,41,0.8892866358347764,0.9091928791160903,0.8863838570220647,0.8697818010669982,0.8714633627066669,0.8429278033647372
Sftp.lsFiles,56,0.9921347917033089,0.9925388975123025,0.9924532430109289,0.9998866711029275,0.9998916755548368,0.9998799332933589
fannkuch.print_30_permut,50,0.7580583137457351,0.7586266350773718,0.8291188755506292,0.8625759339891623,0.8811355782373106,0.8241816874478162
CatGenConfigMetadataFactory.readDatasetFilterElement,7,0.9484451460102347,0.9531554326912807,0.9525047051488397,0.941381934832484,0.9439332437039984,0.94746912022688
ReadaheadPool.submitReadahead,21,0.9358332190337061,0.9068881674892469,0.9104902714538414,0.9493535704082681,0.9420200293833602,0.9196872070479586
DefaultGroovyMethods.trunc,45,0.9066556604643392,0.913216398853136,0.9327213780846395,0.8541502828245653,0.9381768740014674,0.9064891588507735
SingleElectronDiff.difference,36,0.9869478518895509,0.9924150595857317,0.9932061563216327,0.988721299736229,0.9851438171127357,0.9850419325063894
ToHTMLStream.addUniqueAttribute,44,0.9200264969430682,0.949807564941845,0.915386687656238,0.9381355838212109,0.9306991491661767,0.8892941285378517
WorkbenchPanel.removePanel,54,0.9812619686153541,0.9763031777587676,0.9788909272100927,0.9845672581867623,0.9803551653105146,0.980382920867535
S3URI.getChild,47,0.9418059041590907,0.9572237665597569,0.9673801852049755,0.9650946123996874,0.9564709185502525,0.9462075620242165
Start.begin,66,0.9517623182476076,0.9519754187849271,0.8541656856639912,0.9103497300338876,0.9105140699736323,0.9515569405242452
IoUtil.toStream,38,0.9564848221991814,0.9568696678730209,0.9573677115237664,0.9848408654015388,0.9871797331954236,0.9569835556142052
SimpleUnit.makeUnit,24,0.9588731687465153,0.9535155211174773,0.9999031599798335,1.0,0.9157586259814549,0.9532110935939581
DiSHPreferenceVectorIndex.determinePreferenceVectorByMaxIntersection,19,0.9444207147472665,0.937626862517481,0.9365493448886416,0.9511552387025688,0.931802588024802,0.9377083504643123
TaskInProgress.addRunningTask,15,0.7895990614354669,0.7982888050883096,0.7876555251167717,0.7171229487003318,0.8091905002489105,0.7825821671295965
DateUtil.calendar,49,0.9521462507055195,0.964669253620011,0.9122815741040723,0.9609764199805207,0.9605143233743413,0.9510767611394862
PoissonDistribution.logpmf,23,0.9700623187698517,0.967885973071366,0.9744104353238767,0.962085968502525,0.8869445639974963,0.9763323756491942
TransliteratorIDParser.parseCompoundID,2,0.966615038615025,0.9567590730620557,0.9479008694761788,0.9536872934574305,0.9306624068930317,0.9279904269217993
ElementUtil.fromModifierSet,31,0.9637183908760589,0.9632999188750935,0.9653260206261192,0.9979617731244539,0.9690670976251891,0.9630607324760359
Sql.inout,22,0.9998602193577996,0.9999999999999999,0.9998961413721541,0.9998705931405815,0.9998641693632888,0.9998543724470597
BytePrimitiveVector.deserialize,0,0.8444894829649525,0.894451029592297,0.8114277390848403,0.8996545386419859,0.9083168849189978,0.8438498678325786
TimeBoundedStreamJoin.removeExpiredRows,4,0.9251258134532319,0.9226169978998526,0.9240898623153059,0.927528403611148,0.8239100873926711,0.9251740846399958
InvCatalogFactory.readXMLasynch,16,0.785949983204102,0.7946449128811575,0.8119946683184435,0.9214215121591554,0.8336873749314058,0.78515782911005
MessageInfo.parseType,5,0.9006221812399313,0.9035727648118578,0.8464179951099651,0.8944798926708061,0.9392320383889843,0.8995063907933016
StereoElementFactory.interpretProjections,13,0.8805405374166828,0.8435479591644238,0.9120463023347447,0.9441275301432203,0.9180922356503055,0.8969103531612348
GridVariable.showMissingSummary,67,0.9103550140461825,0.9169944327927005,0.9099342551886371,0.9696652701519813,0.932855230570224,0.8976026589881093
RangeDateSelector.synchUI,1,0.9236560827003982,0.8608241017804668,0.9182537085334528,0.8612531963345743,0.9045014248180357,0.9235352387587678
MetaClassImpl.getMethods,33,0.954494697545352,0.9561594549465424,0.9600476388686059,0.9372867350688936,0.9451034422133003,0.9573081793580965
TextWriter.output,32,0.8504845679129756,0.8640769819687545,0.861627295904124,0.8754900521877911,0.8489482621740251,0.8611740928645655
CmsSearchTab.removeParameter,28,0.9791546628002562,0.9672160753762343,0.9692537521080288,0.9798166179324446,0.933833823147226,0.9773599235647316
EigenvalueDecomposition.getD,52,0.945321886546082,0.9448918885961122,0.9475352664307113,0.9802877807288519,0.9328031418337549,0.9474104706751855
Calendar.getPatternData,6,0.9807828742500281,0.9839207246521087,0.9712707191105441,0.9394081957368486,0.9574262051996077,0.9631535801397632
Types.TUPLE,43,0.9455800398427249,0.9347549563273897,0.933596732385028,0.9418982978882311,0.9411483961387478,0.9453742858399539
GammaDistribution.chisquaredProbitApproximation,57,0.9055719921538075,0.8942660506000493,0.9069249334086904,0.9094077594958244,0.8821096119106029,0.9079941777888043
HBondAcceptorCountDescriptor.calculate,39,0.9574817799450909,0.957201430190266,0.9294442653638443,0.9574583169768867,0.9539388169360832,0.9620817809624209
SubWriterHolderWriter.addMemberTree,80,0.9851769274220713,0.9821374210846859,0.9818280011924471,0.9779526454654791,0.9653916090847747,0.9786971986046774
Main.error,77,0.8467333803769064,0.8538576242355903,0.9017894275837274,0.8712330272353254,0.890059740173843,0.8454954274447363
RemoteEnvironment.execute,59,0.9598657810148883,0.978449573527957,0.9703533031564108,0.9062612774058654,0.9424270269860703,0.9710063412114533
Broker.getAndRemove,92,0.9520960663429135,0.8997154881722502,0.8753930680984741,0.8541349510696474,0.8551471067910895,0.952502000518522
AtomicAllocator.getConfiguration,79,0.9207971252845126,0.9998674346741244,0.9217462675863258,0.9245081406272938,0.9556986059599025,0.9998533419515151
HashUtil.bernstein,3,0.9940205419986601,0.9942788260285114,0.993859283702992,0.777300881245885,0.9966218839816321,0.9965797792967753
NFAStateSerializer.serializeComputationStates,78,0.9951239366255634,0.9953229380213073,0.9954450695457385,0.9954663897491182,0.99525578502129,0.9952160296041186
ClassWriter.writeInnerClasses,70,0.9369650041407406,0.9418402689045848,0.9513140671620592,0.9704146163517354,0.9099167607788581,0.9490867693130591
StructureDiagramGenerator.placeSgroupBrackets,61,0.8638698038632613,0.9031183304069533,0.8972700235997733,0.9417376970188714,0.9292638085955541,0.9510495140798118
ExampleLineDetection.detectLineSegments,72,0.9728226571139467,0.9861286860945292,0.9478323111825543,0.9644853940907975,0.9565964688074035,0.9775123555615244
FileAppender.append,90,0.902913085946733,0.9648054292945888,0.9646974609706748,0.9644113544735686,0.9640783725280334,0.9024602765991648
AbstractMTreeNode.integrityCheck,65,0.9008541314864849,0.8520626236451814,0.7153603653873767,0.805828036516995,0.74302320986988,0.8996759996693948
GIntegralImageOps.convolve,88,0.9951907433279534,0.9960991952655743,0.9946599422054138,0.9973103834302405,0.9971922774396474,0.9945268996007531
RestApiConfig.disableGroups,94,0.9998773568623981,0.9998866201120374,0.9998967267736959,0.9999443573859589,0.9998939844931982,1.0
StaticTypeCheckingVisitor.checkOrMarkPrivateAccess,10,0.853408711310779,0.849104098244188,0.8493492286214117,0.9037923437985773,0.8476040181918474,0.844833824766013
UrlResource.readStr,11,0.8446622225258503,0.7680397030765209,0.8441127621813257,0.9814182031168012,0.9102026978235765,0.8441403405382111
CacheSimpleConfig.setCacheWriterFactory,64,0.9998594733020206,0.9998861624200347,0.9998275600287457,0.9998015345840501,0.9998899768582755,0.9952278948592391
VariableScopeVisitor.pushState,89,0.8887228730805862,0.8693126461984932,0.8720656258791295,0.849558893766083,0.8405905717596881,0.9304354863855078
GeneralizedLogisticAlternateDistribution.pdf,58,0.8987338175157745,0.8846399061217323,0.9213144872602774,0.9055881503613291,0.9318754239703286,0.8956258564937013
Security.getProviderProperty,107,0.8289186423216185,0.8382123232112914,0.861782037280159,0.8541050393959208,0.8473680085036556,0.8327330192094345
QueueContainer.txnCommitPollBackup,20,0.8788503231758495,0.9538314992347137,0.9534083372032841,0.8857596431515444,0.9486115015884861,0.8877949074483475
Selector.getSelector,51,0.916028419779336,0.9464003631754241,0.9435759582609573,0.9445685277319259,0.927414690955201,0.9418419673065177
MarkedElement.markupMol,82,0.9766508537496711,1.0000000000000002,0.9763380620869532,0.8642832159044538,0.9999055357101657,0.9999011506941561
SMARTSAtomInvariants.configureDaylightWithRingInfo,71,0.9999515482048043,0.9999154169763719,0.9998995556021906,0.9999154169763719,0.9999121935932399,0.9998897180587303
SparkEMRClient.createCluster,37,0.7564841572489177,0.8860119733874111,0.8494795202371463,0.8861958141685722,0.906956192475831,0.8009956558224479
FactoryMultiView.bundleSparseMetric,115,0.9440800298237623,0.9740429182220351,0.9607076133571668,0.9780143270296268,0.9560100171503553,0.9436607765690791
MatchOps.makeRef,104,0.9972427115870669,0.9962868155620842,0.9875590264344524,0.9998846133385574,1.0,0.998102452874542
MutableProgress.setTotal,102,0.9528511023030289,0.9405691210755419,0.9143095032576681,0.9197131151233946,0.9662789919066983,0.9524972736181402
HttpSessionsPanel.setSessionsTableColumnSizes,87,0.962186585542246,0.933358060070727,0.9587108850997481,0.9169165882626974,0.9324870810458324,0.9595036999151375
XLogPDescriptor.getDoubleBondedNitrogenCount,103,0.975715065551879,0.9898542134310284,0.9893540241235689,0.9882893539467499,0.9875921035202319,0.9875209957695602
ClientConfig.addNearCacheConfig,76,0.9262830350390207,0.9208319493937424,0.9998468446382585,0.8573308072972554,0.9999158803463228,0.9270580143540091
NioGroovyMethods.write,74,0.8833419381952566,0.9028825210012716,0.9346966679227774,0.9282982234004221,0.940299924888376,0.9005351244795605
HadoopBlockLocation.stripHostname,97,0.8721479948028855,0.8916917474400426,0.9143982965099429,0.8836354343533986,0.8507367177610722,0.8835918856143423
CmsContentService.getChangeHandlerScopes,81,0.9048486148783724,0.9129360400511836,0.9493001012095865,0.9364058132515685,0.9281342678049246,0.9050507529966156
FactoryThresholdBinary.localGaussian,86,0.9646909141763195,0.9947527844012631,0.9884311340391869,0.9999145974910651,0.9944993319129237,0.9605817187879846
CmsDialogElements.computeElements,55,0.9311641408682914,0.97184240470084,0.9336579987083309,0.9499500346488607,0.9300590195162397,0.9212523234485257
CoordSysBuilder.findCoordinateTransforms,91,0.9774476624448487,0.9927507716234342,0.9627839705836376,0.9868704627094507,0.9754966181876102,0.9774350089197145
ParallelStreamReader.performReads,109,0.7653165821098555,0.8039765109473632,0.8136087787674506,0.7424827279085218,0.7773389349511332,0.7663458423900187
FileReader.checkFile,113,0.8554294470385048,0.8951884704687046,0.8236172963558088,0.8901497833699442,0.7922878055162947,0.8547482786421249
SourceStreamTask.triggerCheckpoint,127,0.8740943404280238,0.933300812566536,0.8838618552499475,0.9071403317204294,0.8466330866365894,0.9178094174146514
VariableIndex.getRecordAt,117,0.7119553757596014,0.6821291976357656,0.7045535520587548,0.817276006078233,0.6736235767993209,0.693698218242369
AsyncLoggerSet.waitForWriteQuorum,129,0.8103268730292608,0.8827736757281066,0.8553337852848001,0.8920038586538284,0.916527200719784,0.8968820339899022
Resolve.notOverriddenIn,130,0.8188410855020851,0.8883247332583339,0.8634415167142889,0.8001070890372988,0.8375310811953022,0.8492918060502604
LazyValueMap.chopMap,128,0.8891898260904922,0.8061055358037906,0.8640321414791626,0.845700575070054,0.8545874262450348,0.8864090271550024
QrCodeUtil.encode,46,0.8237040862963965,0.9223829723348358,0.8348102291304056,0.9130568644029162,0.9375729516267202,0.8376974977874146
ExampleTemplateMatching.showMatchIntensity,93,0.9420831783617822,0.9454184863705192,0.9675779471541819,0.944249492380689,0.9351421988224703,0.9570389215369933
KinesisDataFetcher.registerShardMetrics,121,0.8760418922075913,0.9073892399220369,0.9240218325447273,0.881545358991711,0.9030167828861935,0.8712529232125503
Formatter.formatMessage,132,0.9190596940384933,0.9934304380049327,0.942586818668651,0.9660360782195044,0.9935886588718275,0.909527230651127
MDLV3000Reader.readBondBlock,9,0.9186317754408898,0.9590277119678035,0.9343306654804209,0.8843359865025864,0.911466336862276,0.9165805308587522
Period.moreThan,146,0.9634421967546704,0.9642021083384331,0.9613836182385532,0.6779364620584056,0.9634195993350182,0.9643731668698986
SaturationChecker.couldMatchAtomType,105,0.8756576646858574,0.9106180896600029,0.8999376878328402,0.8848181446327928,0.8944456640361513,0.873650347813215
